"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"334",2047,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"335",2047,11,100,6.75,54.73,0.69,0,0,1,1.44
"336",2047,12,100,3.83,67.75,0.5,0,0,1,1.44
"337",2048,1,100,2.88,54.82,0.57,0,0,1,1.44
"338",2048,2,100,3.05,46.74,0.83,0,0,1,1.44
"339",2048,3,100,6,48.39,1.73,0,0,1,1.44
"340",2048,4,100,9.8,36.47,3.03,0,0,1,1.44
"341",2048,5,100,13.16,62.3,3.82,0,0,1,1.44
"342",2048,6,100,16.29,56.5,4.44,0,0,1,1.44
"343",2048,7,100,18.28,66.59,4.65,0,0,1,1.44
"344",2048,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"345",2048,9,100,14.43,45.91,2.34,0,0,0,1.44
"346",2048,10,100,11.08,58.98,1.25,0,0,1,1.44
"347",2048,11,100,6.75,54.73,0.69,0,0,1,1.44
"348",2048,12,100,3.83,67.75,0.5,0,0,1,1.44
"349",2049,1,100,2.88,54.82,0.57,0,0,1,1.44
"350",2049,2,100,3.05,46.74,0.83,0,0,1,1.44
"351",2049,3,100,6,48.39,1.73,0,0,1,1.44
"352",2049,4,100,9.8,36.47,3.03,0,0,1,1.44
"353",2049,5,100,13.16,62.3,3.82,0,0,1,1.44
"354",2049,6,100,16.29,56.5,4.44,0,0,1,1.44
"355",2049,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"356",2049,8,100,17.18,76.22,3.49,0,0,1,1.44
"357",2049,9,100,14.43,45.91,2.34,0,0,1,1.44
"358",2049,10,100,11.08,58.98,1.25,0,0,1,1.44
"359",2049,11,100,6.75,54.73,0.69,0,0,1,1.44
"360",2049,12,100,3.83,67.75,0.5,0,0,1,1.44
